index,id,bedrooms_number,batchrooms_number,square_footage_home,square_footage_lot,floors_number,has_waterfront,has_been_viewed,condition_quality,housing_unity_grade,square_footage_except_basement,square_footage_only_basement,build_year,renovation_year,coordinate_latitude,coordinate_longitude,square_footage_home_old,square_footage_lot_old,dayofweek,day,month
47,1930,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,1978,0,200.5643,5.102999999999994,1450,16215,4,2,5
48,4984,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,200.6498,4.679000000000002,2410,3050,4,2,5
49,12152,2,1.0,850,6174,1.0,0,0,4,7,850,0,1950,0,200.7352,4.672000000000012,1100,6174,4,2,5
50,2975,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,1985,0,200.4828,5.282000000000012,1560,56827,4,2,5
51,11169,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,1963,0,200.6188,4.88600000000001,2070,8250,4,2,5
52,7057,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2004,0,200.7735,4.842000000000013,2860,3596,4,2,5
53,16541,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,200.5747,4.965000000000003,2590,37500,4,2,5
54,18989,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,2001,0,200.6697,4.607999999999991,1320,1180,4,2,5
55,4177,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,1976,0,200.7698,4.7779999999999925,2080,8633,4,2,5
56,17185,2,1.0,1210,9400,1.0,0,0,2,6,1210,0,1949,0,200.5342,4.6400000000000015,1580,6026,4,2,5
57,4230,3,1.0,1160,9180,1.0,0,0,3,7,1160,0,1968,0,200.7427,4.927999999999997,1160,10282,4,2,5
58,17338,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,200.5337,5.1400000000000015,3320,11241,4,2,5
59,4705,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,1929,0,200.6747,4.704999999999998,2060,4500,4,2,5
60,5990,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,1990,0,200.5631,4.602999999999994,1770,3833,4,2,5
61,2773,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,0,200.6845,4.798999999999992,2320,10814,4,2,5
62,13225,3,2.0,1930,11947,1.0,0,0,4,8,1930,0,1966,0,200.3672,4.8489999999999895,2200,12825,4,2,5
63,5086,3,1.75,1370,5858,1.0,0,0,3,7,1370,0,1987,0,200.3815,4.687000000000012,1400,7500,4,2,5
64,13378,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,200.4635,5.0089999999999995,2340,35100,4,2,5
65,1223,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,1995,0,200.3256,4.622000000000014,4050,24967,4,2,5
66,8348,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,200.2617,4.810000000000001,2830,80148,4,2,5
67,20755,3,1.0,1010,9945,1.0,0,0,4,6,1010,0,1973,0,200.5324,5.237000000000009,1390,12710,5,3,5
68,3614,3,2.5,1650,14054,1.0,0,0,4,7,1130,520,1986,0,200.4821,4.982999999999991,1940,87555,5,3,5
69,16947,4,2.75,2920,6605,2.0,0,0,3,8,2920,0,2012,0,200.4909,4.856000000000009,3030,6605,5,3,5
70,18425,2,1.0,900,5000,1.0,0,0,3,7,900,0,1944,0,200.6883,4.605000000000004,1280,5000,5,3,5
71,19024,2,2.5,2680,7392,1.0,0,0,3,9,2680,0,2004,0,200.717,4.9739999999999895,2315,7045,6,4,5
72,21387,3,2.5,2850,7130,2.0,0,0,3,10,1990,860,1980,0,200.60299999999998,4.710999999999999,2280,6459,6,4,5
73,10922,4,2.0,2280,6010,1.0,0,0,3,7,1140,1140,1900,0,200.6034,4.710999999999999,2240,6200,6,4,5
74,6667,3,2.5,2200,7350,1.0,0,0,5,8,1570,630,1988,0,200.4395,4.838999999999999,2350,7557,6,4,5
75,11486,4,2.5,2530,9933,2.0,0,2,3,8,2010,520,1990,0,200.2654,4.783999999999992,2140,9933,6,4,5
76,11903,4,2.5,3180,21904,2.0,0,3,3,9,3180,0,2000,0,200.515,4.882999999999996,3715,29170,0,5,5
77,5634,3,1.75,1880,6360,1.0,0,0,4,7,1040,840,1945,0,200.6878,4.713999999999999,1770,6175,0,5,5
78,577,3,2.0,1410,6030,1.5,0,0,4,7,1410,0,1930,0,200.6994,4.6529999999999925,1410,6300,0,5,5
79,720,4,2.5,2730,10281,2.0,0,2,3,9,2730,0,1996,0,200.6227,4.9710000000000045,2750,7220,0,5,5
80,782,3,1.0,1330,77972,1.0,0,0,3,7,1330,0,1928,1954,200.6891,4.841000000000008,1340,17689,0,5,5
81,9818,3,2.5,2490,4343,2.0,0,0,3,9,2490,0,2003,0,200.5493,5.007000000000005,2130,4106,0,5,5
82,13844,5,2.75,2740,8426,1.0,0,0,4,8,1370,1370,1960,0,200.5563,4.8160000000000025,2020,8783,0,5,5
83,11423,4,2.25,1990,7712,1.0,0,0,3,8,1210,780,1973,0,200.5688,4.912999999999997,1720,7393,0,5,5
84,12177,4,1.75,1970,9389,1.0,0,0,5,7,1140,830,1960,0,200.7771,4.661000000000001,1820,8135,0,5,5
85,8837,3,1.75,1920,9306,1.0,0,0,3,7,1000,920,1984,0,200.3319,4.732999999999991,1860,8458,0,5,5
86,6379,2,3.0,1410,1240,2.0,0,0,3,8,1140,270,2006,0,200.5221,4.6099999999999985,1410,1273,0,5,5
87,2027,3,2.25,1410,1332,3.0,0,0,3,8,1410,0,2005,0,200.6916,4.659999999999997,1430,1448,0,5,5
88,13055,4,2.75,2310,5000,2.0,0,0,3,7,2310,0,2006,0,200.3614,4.965000000000003,1980,5000,0,5,5
89,14055,4,2.0,1480,3844,1.5,0,0,5,7,1480,0,1928,0,200.7042,4.647999999999996,1480,3844,0,5,5
90,2601,5,2.5,3090,12750,1.0,0,0,3,8,1750,1340,1968,0,200.3408,4.665000000000006,1760,25919,0,5,5
91,8099,3,2.5,2230,4000,2.0,0,0,3,7,2230,0,1954,0,200.5801,4.694000000000003,1310,4000,0,5,5
92,4749,4,1.5,1240,9600,1.0,0,0,3,7,1240,0,1971,0,200.3206,4.602999999999994,1240,9592,0,5,5
93,19961,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,200.6024,4.704999999999998,2020,5000,0,5,5
94,240,3,1.75,1670,39639,1.0,0,0,4,8,1670,0,1976,1992,200.5929,5.01100000000001,2330,30492,0,5,5
95,20207,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2010,0,200.5401,4.972999999999999,1620,1299,0,5,5
96,7850,2,1.0,1200,8063,1.0,0,0,4,6,1200,0,1958,0,200.4204,4.676000000000002,1200,7500,0,5,5
97,546,3,2.5,3040,4535,2.0,0,0,3,9,3040,0,2007,0,200.51,4.814999999999999,2670,4666,0,5,5
98,17653,5,2.0,2050,10200,1.0,0,0,3,6,1430,620,1956,0,200.4136,4.667000000000002,1940,8625,0,5,5
99,18800,3,2.5,1940,3211,2.0,0,0,3,8,1940,0,2009,0,200.5644,4.907000000000012,1880,3078,0,5,5
100,14433,3,2.5,1880,7838,2.0,0,0,3,7,1880,0,1994,0,200.4439,4.810000000000001,1810,7915,0,5,5
101,18434,2,2.5,1590,1426,2.0,0,0,3,8,1590,0,2014,0,200.5441,4.987000000000009,1590,1426,0,5,5
102,4698,3,2.0,1800,5000,1.0,0,0,4,7,1080,720,1942,0,200.6738,4.702999999999988,1800,5000,0,5,5
103,7309,4,2.5,2800,5900,1.0,0,0,3,8,1660,1140,1963,0,200.6809,4.713999999999999,2580,5900,0,5,5
104,18799,3,2.5,1790,2700,2.0,0,0,3,8,1790,0,2010,0,200.56400000000002,4.907000000000012,1890,3078,0,5,5
105,7897,3,2.5,1408,989,3.0,0,0,3,8,1408,0,2005,0,200.6856,4.685000000000001,1408,1342,0,5,5
106,43,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,1975,0,200.6912,4.885000000000005,2080,8260,0,5,5
107,15173,2,1.0,2540,7000,1.0,0,0,5,8,1320,1220,1942,0,200.5259,4.73899999999999,2160,6000,0,5,5
108,7392,4,1.75,2300,11700,1.0,0,0,4,9,1960,340,1977,0,200.6331,4.906000000000006,2840,12000,0,5,5
109,17406,4,2.5,2910,6479,2.0,0,0,3,7,2910,0,2006,0,200.5402,5.113,2320,5178,0,5,5
110,4964,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,200.62,4.957000000000008,2030,8744,0,5,5
111,3444,2,1.0,810,7158,1.0,0,0,5,6,810,0,1944,0,200.4882,4.674999999999997,1090,7158,0,5,5
112,3220,3,2.0,1050,10072,1.0,0,0,3,7,1050,0,1986,0,200.7341,5.024000000000001,1130,10087,0,5,5
113,17066,6,2.75,3200,9200,1.0,0,2,4,8,1600,1600,1953,0,200.49200000000002,4.63600000000001,2220,9500,0,5,5
114,8448,3,1.0,1450,6000,1.0,0,0,4,7,1450,0,1953,0,200.5238,4.712999999999994,1170,6464,0,5,5
115,14550,5,2.0,1840,9240,1.0,0,0,4,7,1540,300,1942,1958,200.7308,4.659999999999997,1200,5250,0,5,5
116,20902,4,2.5,2120,10202,1.0,0,0,4,7,1620,500,1960,0,200.5858,4.829999999999998,1570,10762,0,5,5
117,11340,4,1.0,1390,4240,1.0,0,0,3,7,1050,340,1924,0,200.6596,4.662000000000006,1810,4240,0,5,5
118,11873,4,2.5,2910,6338,2.0,0,0,3,8,2910,0,2008,0,200.4804,4.873999999999995,2500,5877,0,5,5
119,4529,5,1.75,2550,71874,1.0,0,0,5,7,1810,740,1960,0,200.4845,4.920000000000002,2170,51400,0,5,5
120,3733,3,1.0,1340,306848,1.0,0,0,3,5,1340,0,1953,0,200.7534,5.087999999999994,1800,128066,0,5,5
121,4733,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,0,200.6945,4.829999999999998,1480,2441,0,5,5
122,9430,2,1.0,1770,8640,1.5,0,0,3,6,1520,250,1949,0,200.6926,4.6370000000000005,1060,4804,0,5,5
123,13439,2,1.75,2110,9519,1.0,0,0,2,7,2110,0,1948,0,200.7504,4.694000000000003,1480,9519,0,5,5
124,18551,5,3.5,4490,6000,2.0,0,0,3,10,3200,1290,2006,0,200.5396,4.927000000000007,4530,6000,0,5,5
125,16034,4,2.5,2370,6500,2.0,0,0,3,9,2370,0,1998,0,200.3328,4.8270000000000115,2590,6137,0,5,5
126,5371,3,2.0,2350,5700,1.5,0,0,4,8,1810,540,1939,0,200.639,4.689999999999999,2170,6000,0,5,5
127,4653,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,200.6337,4.628999999999991,2010,3600,0,5,5
128,9586,4,3.0,2340,7048,1.0,0,0,4,8,1340,1000,1979,0,200.7306,4.772999999999996,1440,8088,0,5,5
129,552,4,1.0,2070,7519,1.0,0,0,3,7,1160,910,1963,0,200.632,4.881,1730,7519,0,5,5
130,18920,3,2.5,3240,7857,2.0,0,0,3,10,3240,0,1994,0,200.5857,4.962000000000003,2970,7857,0,5,5
131,6374,2,1.0,840,5510,1.0,0,0,3,7,840,0,1955,0,200.5247,4.6089999999999955,1630,5510,0,5,5
132,9649,5,1.0,1120,9022,1.5,0,0,4,7,1120,0,1962,0,200.7296,4.760000000000005,1310,7500,0,5,5
133,13398,3,2.25,1800,36704,1.0,0,0,4,8,1360,440,1978,0,200.4688,4.987000000000009,2730,36404,0,5,5
134,17498,5,2.75,3190,16920,1.0,0,3,3,9,1690,1500,1976,0,200.5641,4.840000000000003,3100,13100,0,5,5
135,2670,7,8.0,13540,307752,3.0,0,4,3,12,9410,4130,1999,0,200.6675,5.013999999999996,4850,217800,0,5,5
136,15044,3,1.75,1560,5520,1.0,0,0,4,6,780,780,1944,0,200.6515,4.600999999999999,1470,6000,0,5,5
137,21336,2,1.0,1140,5400,1.0,0,0,5,7,1140,0,1908,0,200.6205,4.706000000000003,1520,4800,0,5,5
138,19131,4,3.0,3690,9892,2.0,0,0,3,10,3690,0,1998,0,200.5937,5.0179999999999865,3430,11294,0,5,5
139,947,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,1992,0,200.6805,4.9520000000000115,2720,97138,0,5,5
140,15134,2,3.0,1270,1175,2.0,0,0,3,8,1110,160,2000,0,200.6634,4.659999999999997,1290,1800,0,5,5
141,4530,3,2.0,1550,15040,1.0,0,0,4,6,1550,0,1958,0,200.4873,4.9010000000000105,1510,41416,0,5,5
142,21251,4,2.5,3400,9692,2.0,0,0,3,9,3400,0,2007,0,200.708,4.8910000000000045,3070,7375,0,5,5
143,6574,4,1.75,2010,9211,1.0,0,0,3,7,1470,540,1977,0,200.7206,4.8289999999999935,1840,8500,0,5,5
144,18831,4,1.5,1120,5427,1.0,0,0,3,6,1120,0,1969,2014,200.3628,4.912999999999997,1150,5304,0,5,5
145,9940,2,1.5,1160,1438,2.0,0,0,3,7,1160,0,2001,0,200.5917,4.704999999999998,1220,1740,0,5,5
146,16353,5,2.5,3180,13806,2.0,0,0,4,10,3180,0,1990,0,200.65200000000002,4.817999999999998,3180,13798,0,5,5
147,12085,2,2.5,2220,4000,2.0,0,0,3,9,2220,0,2000,0,200.6364,4.719999999999999,1870,4000,0,5,5
148,1498,5,3.5,4010,8510,2.0,0,1,5,9,2850,1160,1971,0,200.6578,4.713999999999999,2610,6128,0,5,5
149,14551,2,1.0,1140,5250,1.5,0,0,4,6,1140,0,1949,0,200.731,4.658999999999992,1450,5250,0,5,5
150,14642,3,3.0,1571,2017,3.0,0,0,3,8,1571,0,2008,0,200.7338,4.6910000000000025,1520,1497,0,5,5
151,4660,4,2.5,2440,6651,2.0,0,0,3,9,2440,0,2014,0,200.6971,4.628999999999991,1350,7653,0,5,5
152,14725,4,2.5,2450,4247,2.0,0,0,3,8,2450,0,2013,0,200.7048,4.8870000000000005,2970,4685,0,5,5
153,18454,3,1.75,1330,7500,1.0,0,0,3,8,1330,0,1961,0,200.6074,4.805000000000007,1690,7800,0,5,5
154,9728,3,1.5,2160,9000,1.0,0,2,4,8,1400,760,1949,0,200.7241,4.631,3010,9000,0,5,5
155,21333,4,3.0,2170,4000,2.0,0,0,4,9,1610,560,1982,2011,200.6196,4.707999999999998,1670,4000,0,5,5
156,21295,3,2.5,1680,2000,3.0,0,0,3,9,1680,0,1909,1998,200.6604,4.709999999999994,1950,5000,0,5,5
157,14047,3,1.75,1490,10125,1.0,0,0,4,7,1490,0,1962,0,200.3075,4.716000000000008,2488,4981,0,5,5
158,18550,4,4.25,4420,5750,2.0,0,0,3,10,3410,1010,2006,0,200.5404,4.927000000000007,4420,5750,0,5,5
159,389,4,2.75,2600,5390,1.0,0,0,4,8,1300,1300,1960,0,200.6382,4.602999999999994,2550,5600,0,5,5
160,8216,3,1.5,1630,7475,1.0,0,1,3,7,1160,470,1940,0,200.6725,4.727999999999994,2320,7475,1,6,5
161,9774,5,4.0,4510,15175,2.0,0,0,3,10,4510,0,1969,2002,200.5309,4.772000000000006,3510,13500,1,6,5
162,17122,4,2.5,2290,12047,2.0,0,0,4,9,2290,0,1988,0,200.5599,4.894999999999996,3130,15666,1,6,5
163,19786,4,2.5,3030,7864,2.0,0,0,3,9,3030,0,1999,0,200.6075,4.982999999999991,2790,7034,1,6,5
164,8280,3,1.0,1230,9568,1.0,0,0,5,7,1230,0,1962,0,200.53900000000002,4.820999999999998,1270,9575,1,6,5
165,15979,3,1.0,1050,6874,1.0,0,0,3,6,1050,0,1954,0,200.762,4.644999999999996,1500,8954,1,6,5
166,187,6,3.0,3470,117612,1.5,0,0,3,7,3470,0,1924,0,200.7663,4.7660000000000045,2120,17100,1,6,5
167,14666,4,2.5,2000,5684,2.0,0,0,3,8,2000,0,1996,0,200.7443,4.780000000000001,2210,7066,1,6,5
168,9287,4,2.5,1890,6156,1.0,0,0,3,7,980,910,1980,0,200.551,4.643999999999991,1590,6954,1,6,5
169,19731,3,1.5,1420,8580,1.0,0,0,3,6,1420,0,1962,0,200.3076,4.637999999999991,1200,8580,1,6,5
170,2082,3,2.5,2460,54885,2.0,0,0,4,8,2460,0,1980,0,200.4996,4.853999999999999,2770,21407,1,6,5
171,10120,4,2.0,1440,7680,1.0,0,0,3,7,1200,240,1971,0,200.7245,4.799999999999997,1460,9660,1,6,5
172,5152,3,2.5,2200,1970,2.0,0,0,3,9,1610,590,2008,0,200.6426,4.6729999999999885,1890,3505,1,6,5
173,1119,5,5.0,4490,10279,2.0,0,0,3,10,3930,560,2013,0,200.5974,4.7979999999999885,2490,10279,1,6,5
174,21157,2,1.75,1170,2400,1.0,0,0,4,7,740,430,1903,0,200.6653,4.667000000000002,1570,3919,1,6,5
175,5882,4,2.0,3740,32417,2.0,0,0,3,9,3740,0,2000,0,200.6728,4.988,3180,32417,1,6,5
176,9174,5,2.25,3040,8111,2.0,0,0,3,8,3040,0,1984,0,200.7157,4.897000000000006,2020,8304,1,6,5
177,9467,4,2.75,3370,8103,1.0,0,3,3,9,1970,1400,1970,2014,200.5232,4.617000000000004,2120,6360,1,6,5
178,16762,3,2.0,2000,7000,2.0,0,0,3,7,2000,0,1916,1986,200.5452,4.6070000000000135,1840,7000,1,6,5
179,15392,4,2.5,3200,12369,2.0,0,0,3,10,3200,0,1998,0,200.5273,4.8570000000000135,3770,12960,1,6,5
180,16899,3,1.75,1690,7735,1.0,0,0,4,7,1060,630,1976,0,200.3324,4.719999999999999,1580,7503,1,6,5
181,11106,4,1.75,1840,10720,1.0,0,0,3,7,960,880,1958,0,200.6074,4.875,1840,9044,1,6,5
182,4945,5,2.5,2910,9636,1.0,0,0,4,7,1690,1220,1964,0,200.5803,4.881,2830,10385,1,6,5
183,16470,3,2.5,2690,4047,3.0,0,0,3,10,2690,0,2014,0,200.6797,4.614999999999995,2040,5000,1,6,5
184,21236,3,1.0,1010,7034,1.0,0,0,3,7,1010,0,1954,0,200.49,4.780000000000001,1440,10994,1,6,5
185,6947,5,2.0,2020,5000,1.5,0,0,4,7,2020,0,1938,0,200.6949,4.629999999999996,1510,6600,1,6,5
186,14259,3,2.5,1850,10109,2.0,0,0,3,8,1850,0,1991,0,200.7163,4.771000000000001,1780,9660,1,6,5
187,3628,2,1.0,930,36478,1.0,0,2,3,6,930,0,1951,0,200.5699,4.835999999999999,2800,11141,1,6,5
188,10483,3,2.25,1970,11088,1.0,0,0,4,8,1180,790,1967,0,200.7651,4.722999999999999,1970,10470,1,6,5
189,5062,3,1.0,1510,6083,1.0,0,0,4,6,860,650,1940,0,200.6966,4.676000000000002,1510,5712,1,6,5
190,1207,4,2.0,2060,5000,1.0,0,0,3,7,1030,1030,1949,2013,200.6992,4.621000000000009,1280,5000,1,6,5
191,16385,3,2.5,2970,11985,1.0,0,0,3,9,1770,1200,1995,0,200.6359,4.947999999999993,2990,12049,1,6,5
192,3917,2,1.0,1030,4400,1.0,0,0,3,7,1030,0,1924,0,200.68099999999998,4.638999999999996,1400,4200,1,6,5
193,15784,4,3.25,3569,8327,2.0,0,0,3,10,3569,0,2013,0,200.4595,4.792000000000002,2550,5251,1,6,5
194,173,3,1.75,1850,7684,1.0,0,0,3,8,1320,530,1979,0,200.2975,4.629999999999996,1940,7630,1,6,5
195,1577,3,1.0,1350,7740,1.0,0,0,4,6,860,490,1947,0,200.7098,4.709000000000003,1130,7740,1,6,5
196,4611,4,2.5,2000,5390,2.0,0,0,3,7,2000,0,2003,0,200.3732,4.871000000000009,2330,5390,1,6,5
197,11164,3,1.75,1260,6500,1.0,0,0,4,7,1260,0,1966,0,200.6224,4.8839999999999995,1500,7700,1,6,5
198,437,4,3.5,3380,8330,2.0,0,0,3,8,3380,0,2000,0,200.7741,4.621000000000009,2220,8330,1,6,5
199,13835,4,2.25,2260,29930,2.0,0,0,4,8,1400,860,1977,0,200.5689,4.873999999999995,2770,29930,1,6,5
200,7070,3,1.75,1900,5520,1.0,0,0,3,7,1280,620,1982,0,200.5549,4.707999999999998,1330,5196,1,6,5
201,59,2,1.0,780,16344,1.0,0,0,1,5,780,0,1942,0,200.4739,4.719999999999999,1700,10387,1,6,5
202,6157,2,1.75,1660,6000,1.0,0,0,3,7,1160,500,1942,0,200.6624,4.709000000000003,1660,4000,1,6,5
203,21366,2,2.25,1230,929,2.0,0,0,3,8,1020,210,2004,0,200.6191,4.698999999999998,1270,1370,1,6,5
204,18752,4,2.25,2810,23400,1.0,0,1,3,7,1710,1100,1958,0,200.395,4.688999999999994,1860,14900,1,6,5
205,11855,2,1.0,900,5160,1.0,0,0,3,6,900,0,1952,0,200.525,4.643999999999991,900,5160,1,6,5
206,7285,3,1.75,2130,6500,1.0,0,2,3,8,1170,960,1954,0,200.6424,4.61399999999999,2020,5000,1,6,5
207,10935,4,2.0,2680,18768,1.0,0,0,5,8,2680,0,1965,0,200.3182,4.7210000000000045,1230,15750,1,6,5
208,14886,3,1.5,1430,8000,1.0,0,0,4,7,1430,0,1956,0,200.5874,4.86399999999999,1450,8000,1,6,5
209,20823,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,200.6831,4.657000000000012,1400,3780,1,6,5
210,6572,5,2.5,2240,7770,1.0,0,0,3,7,1340,900,1978,0,200.7198,4.8289999999999935,1820,7770,1,6,5
211,3944,4,2.5,2740,45732,2.0,0,0,3,8,2740,0,1995,0,200.74,4.9520000000000115,2080,43560,1,6,5
212,4402,3,1.5,800,8850,1.0,0,0,4,6,800,0,1959,0,200.3266,4.652000000000001,820,8775,1,6,5
213,21185,3,1.0,1110,6250,1.0,0,0,3,7,1110,0,1956,0,200.6977,4.707999999999998,2010,6944,1,6,5
